ref,state,constituency,won status,votes,(votes),Name,Party Name
7757,Odisha,Kandhamal(13),lost,144322,( -272093),AMIR CHAND NAYAK,Indian National Congress
7758,Odisha,Kandhamal(13),lost,7330,( -409085),BHAGIRATHI BALIARSINGH,Manas Lokshakti Dal
7759,Odisha,Kandhamal(13),lost,5205,( -411210),KANAK MANJARI RATH,Independent
7760,Odisha,Kandhamal(13),lost,5137,( -411278),HARIBANDHU BEHERA,Bahujan Samaj Party
7761,Odisha,Kandhamal(13),lost,4137,( -412278),SUBASH MOHAPATRA,National Jan Dal
7762,Odisha,Kandhamal(13),lost,2781,( -413634),PARSURAM PRADHAN,Kalinga Sena
7763,Odisha,Kandhamal(13),,15720,( -400695),NOTA,None of the Above
7764,Odisha,Nabarangpur(12),won,481396,(+ 87536),BALABHADRA MAJHI,Bharatiya Janata Party
7765,Odisha,Nabarangpur(12),lost,393860,( -87536),PRADEEP KUMAR MAJHI,Biju Janata Dal
7766,Odisha,Nabarangpur(12),lost,303392,( -178004),BHUJABAL MAJHI,Indian National Congress
7767,Odisha,Nabarangpur(12),lost,20559,( -460837),TRINATH MUNDAGUDIA,Socialist Unity Centre Of India (COMMUNIST)
7768,Odisha,Nabarangpur(12),,43268,( -438128),NOTA,None of the Above
7769,Odisha,Kalahandi(11),won,544303,(+ 133813),MALVIKA DEVI,Bharatiya Janata Party
7770,Odisha,Kalahandi(11),lost,410490,( -133813),LAMBODAR NIAL,Biju Janata Dal
7771,Odisha,Kalahandi(11),lost,303199,( -241104),DROUPADI MAJHI,Indian National Congress
7772,Odisha,Kalahandi(11),lost,9194,( -535109),UMAKANTA TANDI,Independent
7773,Odisha,Kalahandi(11),lost,8497,( -535806),BIRANCHI NARAYAN DURGA,Bahujan Samaj Party
7774,Odisha,Kalahandi(11),lost,7811,( -536492),DR. DHARMANANDA GAHIR,Independent
7775,Odisha,Kalahandi(11),lost,7168,( -537135),SIBA HATI,Samajwadi Party
7776,Odisha,Kalahandi(11),lost,6730,( -537573),RAJARAM SAHU,Independent
7777,Odisha,Kalahandi(11),lost,6641,( -537662),NARESH HIANLA,Independent
7778,Odisha,Kalahandi(11),lost,5590,( -538713),GANGADHAR JAL,Independent
7779,Odisha,Kalahandi(11),lost,4906,( -539397),HIMANSHU TRIPATHY,Samruddha Odisha
7780,Odisha,Kalahandi(11),,19715,( -524588),NOTA,None of the Above
7781,Odisha,Bolangir(10),won,617744,(+ 132664),SANGEETA KUMARI SINGH DEO,Bharatiya Janata Party
7782,Odisha,Bolangir(10),lost,485080,( -132664),SURENDRA SINGH BHOI,Biju Janata Dal
7783,Odisha,Bolangir(10),lost,230874,( -386870),MANOJ KUMAR MISHRA,Indian National Congress
7784,Odisha,Bolangir(10),lost,10355,( -607389),SUNIL KUMAR BHOI,Socialist Unity Centre Of India (COMMUNIST)
7785,Odisha,Bolangir(10),lost,9469,( -608275),JAGADISH CHANDRA BIBHAR,Bahujan Samaj Party
7786,Odisha,Bolangir(10),lost,8674,( -609070),BALRAM SINGH YADAV,Independent
7787,Odisha,Bolangir(10),lost,7252,( -610492),MADHUSUDAN BARIK,Ambedkarite Party of India
7788,Odisha,Bolangir(10),lost,6097,( -611647),BALARAM SA,Independent
7789,Odisha,Bolangir(10),lost,5469,( -612275),AKSHAYA DISHRI,National Apni Party
7790,Odisha,Bolangir(10),lost,3170,( -614574),RAJESH KUMAR PANDA,Ekam Sanatan Bharat Dal
7791,Odisha,Bolangir(10),,16064,( -601680),NOTA,None of the Above
7792,Odisha,Dhenkanal(9),won,598721,(+ 76567),RUDRA NARAYAN PANY,Bharatiya Janata Party
7793,Odisha,Dhenkanal(9),lost,522154,( -76567),ABINASH SAMAL,Biju Janata Dal
7794,Odisha,Dhenkanal(9),lost,34730,( -563991),SASHMITA BEHERA,Indian National Congress
7795,Odisha,Dhenkanal(9),lost,4895,( -593826),PRAFULLA KUMAR NAIK,Bahujan Samaj Party
7796,Odisha,Dhenkanal(9),lost,4629,( -594092),MAHESWAR SAHOO,Independent
7797,Odisha,Dhenkanal(9),lost,3384,( -595337),MANASI SWAIN,Socialist Unity Centre Of India (COMMUNIST)
7798,Odisha,Dhenkanal(9),lost,2909,( -595812),PRIYABRATA GARNAIK,Independent
7799,Odisha,Dhenkanal(9),lost,2653,( -596068),JANARDAN NAIK,Independent
7800,Odisha,Dhenkanal(9),lost,2213,( -596508),KAILAS CHANDRA PRADHAN,Independent
7801,Odisha,Dhenkanal(9),lost,1608,( -597113),SWAPNA RANI JAMES,Utkal Samaj
7802,Odisha,Dhenkanal(9),,13777,( -584944),NOTA,None of the Above
7803,Odisha,Jajpur(8),won,534239,(+ 1587),RABINDRA NARAYAN BEHERA,Bharatiya Janata Party
7804,Odisha,Jajpur(8),lost,532652,( -1587),SARMISTHA SETHI,Biju Janata Dal
7805,Odisha,Jajpur(8),lost,53145,( -481094),ANCHAL DAS,Indian National Congress
7806,Odisha,Jajpur(8),lost,18007,( -516232),SUBASH CHANDRA MALLIK,Socialist Unity Centre Of India (COMMUNIST)
7807,Odisha,Jajpur(8),lost,3218,( -531021),ER. SANDHYA RANI MALLICK,Bahujan Samaj Party
7808,Odisha,Jajpur(8),lost,2403,( -531836),BHAIRABA PRASAD BEHERA,Independent
7809,Odisha,Jajpur(8),lost,2301,( -531938),SUMANTA MALIK,Independent
7810,Odisha,Jajpur(8),lost,2172,( -532067),BIDYADHAR DALEI,Ambedkarite Party of India
7811,Odisha,Jajpur(8),lost,2077,( -532162),JHUNA MALIK,Manas Lokshakti Dal
7812,Odisha,Jajpur(8),lost,1252,( -532987),ARTTATRANA MALIK,Independent
7813,Odisha,Jajpur(8),lost,1119,( -533120),NARENDRA MALIKA,Independent
7814,Odisha,Jajpur(8),lost,956,( -533283),MANTU SETHI,Janta Darbar Party
7815,Odisha,Jajpur(8),lost,879,( -533360),BINOD KUMAR JENA,Gana Suraksha Party
7816,Odisha,Jajpur(8),,6788,( -527451),NOTA,None of the Above
7817,Odisha,Bhadrak(7),won,573319,(+ 91544),AVIMANYU SETHI,Bharatiya Janata Party
7818,Odisha,Bhadrak(7),lost,481775,( -91544),MANJULATA MANDAL,Biju Janata Dal
7819,Odisha,Bhadrak(7),lost,221874,( -351445),ANANTA PRASAD SETHI,Indian National Congress
7820,Odisha,Bhadrak(7),lost,4880,( -568439),KIRTAN BIHARI MALIK,Socialist Unity Centre Of India (COMMUNIST)
7821,Odisha,Bhadrak(7),lost,3604,( -569715),ADV. ARJUN CHARAN MALLIK,Bahujan Samaj Party
7822,Odisha,Bhadrak(7),lost,3517,( -569802),ANJAN DAS,Ambedkarite Party of India
7823,Odisha,Bhadrak(7),lost,1530,( -571789),BASANTA KUMAR MAHALIK,Independent
7824,Odisha,Bhadrak(7),lost,1400,( -571919),SARBESWAR BEHERA,Independent
7825,Odisha,Bhadrak(7),,5478,( -567841),NOTA,None of the Above
7826,Odisha,Balasore(6),won,563865,(+ 147156),PRATAP CHANDRA SARANGI,Bharatiya Janata Party
7827,Odisha,Balasore(6),lost,416709,( -147156),LEKHASRI SAMANTSINGHAR,Biju Janata Dal
7828,Odisha,Balasore(6),lost,237007,( -326858),SHRIKANTA JENA,Indian National Congress
7829,Odisha,Balasore(6),lost,2920,( -560945),RAJAT KUMAR BEHERA,Bahujan Samaj Party
7830,Odisha,Balasore(6),lost,2640,( -561225),GOBINDA CHANDRA BHOI,National Apni Party
7831,Odisha,Balasore(6),lost,2161,( -561704),SURYAKANTA DASMOHAPATRA,Independent
7832,Odisha,Balasore(6),lost,1868,( -561997),MAHAMEGHABAHAN AIRA KHARABELA SWAIN,Independent
7833,Odisha,Balasore(6),lost,1639,( -562226),PRAMOD KUMAR PATTAYAT,Independent
7834,Odisha,Balasore(6),lost,1452,( -562413),BIREN PUHAN,Krupaa Party
7835,Odisha,Balasore(6),lost,1194,( -562671),DEEPAK SANKAR THAKUR GIRI,Independent
7836,Odisha,Balasore(6),lost,830,( -563035),AKHIL KUMAR MOHANTA,Independent
7837,Odisha,Balasore(6),,7350,( -556515),NOTA,None of the Above
7838,Odisha,Mayurbhanj(5),won,585971,(+ 219334),NABA CHARAN MAJHI,Bharatiya Janata Party
7839,Odisha,Mayurbhanj(5),lost,366637,( -219334),SUDAM MARNDI,Biju Janata Dal
7840,Odisha,Mayurbhanj(5),lost,135399,( -450572),ANJANI SOREN,Jharkhand Mukti Morcha
7841,Odisha,Mayurbhanj(5),lost,9324,( -576647),RABINDRA NATH SINGH,Independent
7842,Odisha,Mayurbhanj(5),lost,8953,( -577018),ASHOK KUMAR SING,Independent
7843,Odisha,Mayurbhanj(5),lost,8502,( -577469),JATIA SAWAYAN,Bahujan Samaj Party
7844,Odisha,Mayurbhanj(5),lost,8477,( -577494),SANTILATA CHATTAR,Independent
7845,Odisha,Mayurbhanj(5),lost,8114,( -577857),PITAMBAR NAIK,Socialist Unity Centre Of India (COMMUNIST)
7846,Odisha,Mayurbhanj(5),lost,5394,( -580577),ANTA ALOK BASKEY,AJSU Party
7847,Odisha,Mayurbhanj(5),lost,5322,( -580649),BAJUN HANSDA,Independent
7848,Odisha,Mayurbhanj(5),lost,5138,( -580833),KANHU CHARAN TUDU,Independent
7849,Odisha,Mayurbhanj(5),lost,3656,( -582315),SUKANTA HEMBRAM,Bharatiya Nyay-Adhikar Raksha Party
7850,Odisha,Mayurbhanj(5),lost,3210,( -582761),GURU  CHARAN HEMBRAM,Bharatheeya Jawan Kisan Party
7851,Odisha,Mayurbhanj(5),,19953,( -566018),NOTA,None of the Above
7852,Odisha,Keonjhar(4),won,573923,(+ 97042),ANANTA NAYAK,Bharatiya Janata Party
7853,Odisha,Keonjhar(4),lost,476881,( -97042),DHANURJAYA SIDU,Biju Janata Dal
7854,Odisha,Keonjhar(4),lost,105278,( -468645),BINOD BIHARI NAIK,Indian National Congress
7855,Odisha,Keonjhar(4),lost,31736,( -542187),JOHN MIRAN MUNDA,Independent
7856,Odisha,Keonjhar(4),lost,11043,( -562880),SAHEBA JUANGA,Manas Lokshakti Dal
7857,Odisha,Keonjhar(4),lost,9044,( -564879),SUSHANT KUMAR NAIK,Independent
7858,Odisha,Keonjhar(4),lost,6778,( -567145),LAMBODAR NAIK,Independent
7859,Odisha,Keonjhar(4),lost,6574,( -567349),HARIHAR MUNDA,Socialist Unity Centre Of India (COMMUNIST)
7860,Odisha,Keonjhar(4),lost,4556,( -569367),RAGHUMANI NAIK,Independent
7861,Odisha,Keonjhar(4),lost,3895,( -570028),RAM PRASAD HEMBRAM,Bahujan Samaj Party
7862,Odisha,Keonjhar(4),lost,2144,( -571779),PITABASA NAIK,AJSU Party
7863,Odisha,Keonjhar(4),,24763,( -549160),NOTA,None of the Above
7864,Odisha,Sambalpur(3),won,592162,(+ 119836),DHARMENDRA PRADHAN,Bharatiya Janata Party
7865,Odisha,Sambalpur(3),lost,472326,( -119836),PRANAB PRAKASH DAS,Biju Janata Dal
7866,Odisha,Sambalpur(3),lost,89113,( -503049),NAGENDRA KUMAR PRADHAN,Indian National Congress
7867,Odisha,Sambalpur(3),lost,4795,( -587367),SADANAND RANBIDA,Bahujan Samaj Party
7868,Odisha,Sambalpur(3),lost,4702,( -587460),SRIRAM PANDEY,Independent
7869,Odisha,Sambalpur(3),lost,4303,( -587859),SHUSHIL KUMAR BABU,Independent
7870,Odisha,Sambalpur(3),lost,3334,( -588828),GNYANENDRA BEHERA,Independent
7871,Odisha,Sambalpur(3),lost,3157,( -589005),NABAKISHORE PRADHAN,Socialist Unity Centre Of India (COMMUNIST)
7872,Odisha,Sambalpur(3),lost,2059,( -590103),ATMA RAM SUPKAR,Independent
7873,Odisha,Sambalpur(3),lost,1735,( -590427),PURUSHOTTAM PATRA,Kosal Janata Dal
7874,Odisha,Sambalpur(3),lost,1708,( -590454),RAKESH BAG,Bharatiya Nyay-Adhikar Raksha Party
7875,Odisha,Sambalpur(3),lost,1693,( -590469),SUBASH MOHAPATRA,National Jan Dal
7876,Odisha,Sambalpur(3),lost,1682,( -590480),LAXMAN KUMAR BHOI,Paschimanchal Vikas Party
7877,Odisha,Sambalpur(3),lost,1495,( -590667),KHAGESWAR BEHERA,Rashtriya Manav Party
7878,Odisha,Sambalpur(3),,12483,( -579679),NOTA,None of the Above
7879,Odisha,Sundargarh(2),won,494282,(+ 138808),JUAL ORAM,Bharatiya Janata Party
7880,Odisha,Sundargarh(2),lost,355474,( -138808),DILIP KUMAR TIRKEY,Biju Janata Dal
7881,Odisha,Sundargarh(2),lost,261986,( -232296),JANARDAN DEHURY,Indian National Congress
7882,Odisha,Sundargarh(2),lost,9141,( -485141),JUSTIN LUGUN,Socialist Unity Centre Of India (COMMUNIST)
7883,Odisha,Sundargarh(2),lost,6027,( -488255),JAGABANDHU ORAM,Independent
7884,Odisha,Sundargarh(2),lost,4052,( -490230),SUMANTA KUMAR SORENG,National Apni Party
7885,Odisha,Sundargarh(2),lost,3981,( -490301),SANTOSH JURA,Naba Bharata Nirmana Seva Party
7886,Odisha,Sundargarh(2),lost,3033,( -491249),PARUA EKKA,Jharkhand Party
7887,Odisha,Sundargarh(2),,17801,( -476481),NOTA,None of the Above
7888,Odisha,Bargarh(1),won,716359,(+ 251667),PRADEEP PUROHIT,Bharatiya Janata Party
7889,Odisha,Bargarh(1),lost,464692,( -251667),PARINITA MISHRA,Biju Janata Dal
7890,Odisha,Bargarh(1),lost,93551,( -622808),SANJAY BHOI,Indian National Congress
7891,Odisha,Bargarh(1),lost,9322,( -707037),JAYARAM BAGH,Bahujan Samaj Party
7892,Odisha,Bargarh(1),lost,4563,( -711796),GNYANENDRA BEHERA,Independent
7893,Odisha,Bargarh(1),lost,4538,( -711821),DEVIKA SIKA,National Apni Party
7894,Odisha,Bargarh(1),lost,4298,( -712061),PRABHAT KUMAR DHARUA,Independent
7895,Odisha,Bargarh(1),,12541,( -703818),NOTA,None of the Above
7896,Andhra Pradesh,Narsapuram(9),won,707343,(+ 276802),BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),Bharatiya Janata Party
7897,Andhra Pradesh,Narsapuram(9),lost,430541,( -276802),UMABALA GUDURI,Yuvajana Sramika Rythu Congress Party
7898,Andhra Pradesh,Narsapuram(9),lost,35213,( -672130),K.B.R.NAIDU,Indian National Congress
7899,Andhra Pradesh,Narsapuram(9),lost,6364,( -700979),PRASANNA KUMAR UNDURTHI,Independent
7900,Andhra Pradesh,Narsapuram(9),lost,6014,( -701329),SIRRA RAJU,Bahujan Samaj Party
7901,Andhra Pradesh,Narsapuram(9),lost,5969,( -701374),MEDAPATI VENKATA VARAHALA REDDY,Independent
7902,Andhra Pradesh,Narsapuram(9),lost,5240,( -702103),BALAGAM NAYAKAR,Independent
7903,Andhra Pradesh,Narsapuram(9),lost,4684,( -702659),NALLI RAJESH,Independent
7904,Andhra Pradesh,Narsapuram(9),lost,3145,( -704198),KETHA SREENU,Independent
7905,Andhra Pradesh,Narsapuram(9),lost,3116,( -704227),OLETY NAGENDRA KRISHNA,Jaibhim Rao Bharat Party
7906,Andhra Pradesh,Narsapuram(9),lost,2783,( -704560),ADDEPALLI VEERA VENKAT SUBBA RAO,Independent
7907,Andhra Pradesh,Narsapuram(9),lost,2726,( -704617),ANAND CHANDULAL JASTI,Independent
7908,Andhra Pradesh,Narsapuram(9),lost,1649,( -705694),GANJI PURNIMA,Republican Party of India (A)
7909,Andhra Pradesh,Narsapuram(9),lost,1527,( -705816),GEDALA LAXMANA RAO,Independent
7910,Andhra Pradesh,Narsapuram(9),lost,1393,( -705950),ADDANKI DORABABU,Independent
7911,Andhra Pradesh,Narsapuram(9),lost,1384,( -705959),GOTTUMUKKALA SHIVAJI,Independent
7912,Andhra Pradesh,Narsapuram(9),lost,1007,( -706336),ADINARAYANA DUPPANAPUDI,Independent
7913,Andhra Pradesh,Narsapuram(9),lost,930,( -706413),MANNE LEELA RAMA NARENDRA,Pyramid Party of India
7914,Andhra Pradesh,Narsapuram(9),lost,920,( -706423),RAMA DURGA PRASAD THOLETI,Independent
7915,Andhra Pradesh,Narsapuram(9),lost,686,( -706657),RUKHMINI,Independent
7916,Andhra Pradesh,Narsapuram(9),lost,683,( -706660),ADABALA SIVA,Independent
7917,Andhra Pradesh,Narsapuram(9),,7677,( -699666),NOTA,None of the Above
7918,Andhra Pradesh,Rajahmundry(8),won,726515,(+ 239139),DAGGUBATI PURANDHESHWARI,Bharatiya Janata Party
7919,Andhra Pradesh,Rajahmundry(8),lost,487376,( -239139),DR. GUDURI SRINIVAS,Yuvajana Sramika Rythu Congress Party
7920,Andhra Pradesh,Rajahmundry(8),lost,32508,( -694007),GIDUGU RUDRARAJU,Indian National Congress
7921,Andhra Pradesh,Rajahmundry(8),lost,20409,( -706106),GANESWARA RAO PARAMATA,Bahujan Samaj Party
7922,Andhra Pradesh,Rajahmundry(8),lost,17008,( -709507),BATTULA BALARAMAKRISHNA,Navarang Congress Party
7923,Andhra Pradesh,Rajahmundry(8),lost,3278,( -723237),SALOPANTULA RAGHAVENDRA RAO,Independent
7924,Andhra Pradesh,Rajahmundry(8),lost,3115,( -723400),DR. MEDISI RATNARAO ALIAS VINAY,Independent
7925,Andhra Pradesh,Rajahmundry(8),lost,2833,( -723682),MOHANARAO SINGULURI,Jai Bharat National Party
7926,Andhra Pradesh,Rajahmundry(8),lost,2429,( -724086),MEDA SRINIVASA RAO,Rashtriya Praja Congress  (Secular)
7927,Andhra Pradesh,Rajahmundry(8),lost,2179,( -724336),BOMMANABOINA VSR MURTHY,Independent
7928,Andhra Pradesh,Rajahmundry(8),lost,1958,( -724557),BHANU CHANDAR KURUVELLA,Independent
7929,Andhra Pradesh,Rajahmundry(8),lost,1254,( -725261),JALLI BALA NAVEENA,Independent
7930,Andhra Pradesh,Rajahmundry(8),,24435,( -702080),NOTA,None of the Above
7931,Andhra Pradesh,Anakapalle(5),won,762069,(+ 296530),C.M.RAMESH,Bharatiya Janata Party
7932,Andhra Pradesh,Anakapalle(5),lost,465539,( -296530),BUDI MUTYALA NAIDU,Yuvajana Sramika Rythu Congress Party
7933,Andhra Pradesh,Anakapalle(5),lost,25651,( -736418),VEGI VENKATESH,Indian National Congress
7934,Andhra Pradesh,Anakapalle(5),lost,19157,( -742912),PALAKA SREERAMA MURTHY,Bahujan Samaj Party
7935,Andhra Pradesh,Anakapalle(5),lost,4002,( -758067),VANKAYALA RAMACHANDRA RAO,Independent
7936,Andhra Pradesh,Anakapalle(5),lost,3852,( -758217),LOVARAJU SIDDHA,Independent
7937,Andhra Pradesh,Anakapalle(5),lost,3557,( -758512),KRISHNA SWAROOP VADLAMURI,Dalita Bahujana Party
7938,Andhra Pradesh,Anakapalle(5),lost,3124,( -758945),GARA SURYA RAO,Independent
7939,Andhra Pradesh,Anakapalle(5),lost,2619,( -759450),APPALA RAJU NAMMI,Bharatha Chaitanya Yuvajana Party
7940,Andhra Pradesh,Anakapalle(5),lost,2184,( -759885),NAGESWARA RAO PETLA,Independent
7941,Andhra Pradesh,Anakapalle(5),lost,1913,( -760156),ADARI SARAT CHANDRA,Jai Bharat National Party
7942,Andhra Pradesh,Anakapalle(5),lost,1591,( -760478),VIJAYA LAKSHMI KARRI,Pyramid Party of India
7943,Andhra Pradesh,Anakapalle(5),lost,1576,( -760493),DR. THUMMAPALA HARI  SHANKAR,Independent
7944,Andhra Pradesh,Anakapalle(5),lost,1201,( -760868),JUNNURI J SRINIVAS,Independent
7945,Andhra Pradesh,Anakapalle(5),lost,1062,( -761007),APPALANAIDU TUMMAGUNTA,Independent
7946,Andhra Pradesh,Anakapalle(5),,26235,( -735834),NOTA,None of the Above
7947,Andhra Pradesh,Rajampet(24),won,644844,(+ 76071),P V MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party
7948,Andhra Pradesh,Rajampet(24),lost,568773,( -76071),NALLARI KIRAN KUMAR REDDY,Bharatiya Janata Party
7949,Andhra Pradesh,Rajampet(24),lost,53300,( -591544),SHAIK BASHEED,Indian National Congress
7950,Andhra Pradesh,Rajampet(24),lost,12363,( -632481),ABBAVARAM UGENDRA,Bahujan Samaj Party
7951,Andhra Pradesh,Rajampet(24),lost,6100,( -638744),POOLA REDDY SEKHAR,Independent
7952,Andhra Pradesh,Rajampet(24),lost,5999,( -638845),NAGARAJU JETTI,Independent
7953,Andhra Pradesh,Rajampet(24),lost,5672,( -639172),PRADEEP PENAMADU,All India Forward Bloc
7954,Andhra Pradesh,Rajampet(24),lost,4735,( -640109),CHOUDVARAM SUBBANARASAIAH,Independent
7955,Andhra Pradesh,Rajampet(24),lost,4616,( -640228),PULI SREENIVASULU,Independent
7956,Andhra Pradesh,Rajampet(24),lost,4443,( -640401),SREENIVASULU MARRIPATI,Independent
7957,Andhra Pradesh,Rajampet(24),lost,2411,( -642433),AKBAR M BASHA,Anna YSR Congress Party
7958,Andhra Pradesh,Rajampet(24),lost,1535,( -643309),SANGARAJU NAGESWARA RAJU,Independent
7959,Andhra Pradesh,Rajampet(24),lost,1415,( -643429),MADA RAJA,Jaathia Chethi Vruthula Ikya Vedika Party
7960,Andhra Pradesh,Rajampet(24),lost,1366,( -643478),BATTHALA RAMANAIAH,Jai Bharat National Party
7961,Andhra Pradesh,Rajampet(24),lost,1318,( -643526),DODDAPANENI RAJA NAIDU,Independent
7962,Andhra Pradesh,Rajampet(24),lost,1071,( -643773),MAYANA MOHAMMED SALMAN KHAN,Liberation Congress Party
7963,Andhra Pradesh,Rajampet(24),lost,887,( -643957),KASTURI OBAIAH NAIDU,Independent
7964,Andhra Pradesh,Rajampet(24),lost,691,( -644153),ASADI VENKATADRI,Independent
7965,Andhra Pradesh,Rajampet(24),,11400,( -633444),NOTA,None of the Above
7966,Andhra Pradesh,Thirupathi(SC)(23),won,632228,(+ 14569),GURUMOORTHY MADDILA,Yuvajana Sramika Rythu Congress Party
7967,Andhra Pradesh,Thirupathi(SC)(23),lost,617659,( -14569),VARA PRASAD RAO VELAGAPALLI,Bharatiya Janata Party
7968,Andhra Pradesh,Thirupathi(SC)(23),lost,65523,( -566705),CHINTA MOHAN,Indian National Congress
7969,Andhra Pradesh,Thirupathi(SC)(23),lost,10506,( -621722),PENUMURU. GURAPPA,Bahujan Samaj Party
7970,Andhra Pradesh,Thirupathi(SC)(23),lost,5802,( -626426),KATTAMANCHI. PRABHAKAR,Independent
7971,Andhra Pradesh,Thirupathi(SC)(23),lost,5425,( -626803),M UMADEVI,Janata Congress
7972,Andhra Pradesh,Thirupathi(SC)(23),lost,4970,( -627258),ALLAM.RAJA,Independent
7973,Andhra Pradesh,Thirupathi(SC)(23),lost,4302,( -627926),VIJAY KUMAR G.SRKR,Liberation Congress Party
7974,Andhra Pradesh,Thirupathi(SC)(23),lost,3666,( -628562),ANJAIAH.P,Republican Party of India (A)
7975,Andhra Pradesh,Thirupathi(SC)(23),lost,1731,( -630497),V.C. NAVEEN GUPTA,Independent
7976,Andhra Pradesh,Thirupathi(SC)(23),lost,1698,( -630530),A. VARAPRASAD,Jatiya Jana Sena Party
7977,Andhra Pradesh,Thirupathi(SC)(23),lost,1568,( -630660),SYAMDHAN KURAPATI,Aihra National Party
7978,Andhra Pradesh,Thirupathi(SC)(23),lost,1515,( -630713),C. PUNYAMURTHY,United Republican Party of India
7979,Andhra Pradesh,Thirupathi(SC)(23),lost,1510,( -630718),KARRA SIVA,Pyramid Party of India
7980,Andhra Pradesh,Thirupathi(SC)(23),lost,1389,( -630839),VELURU. THEJOVATHI,Samajwadi Party
7981,Andhra Pradesh,Thirupathi(SC)(23),lost,1239,( -630989),C. DAVID,Indian Believers Party (IBP)
7982,Andhra Pradesh,Thirupathi(SC)(23),lost,1204,( -631024),K. JEEVARATHNAM,Independent
7983,Andhra Pradesh,Thirupathi(SC)(23),lost,1087,( -631141),DASARI. GOWTHAM,Independent
7984,Andhra Pradesh,Thirupathi(SC)(23),lost,801,( -631427),VIJAYA KUMAR.G,Independent
7985,Andhra Pradesh,Thirupathi(SC)(23),lost,711,( -631517),A. MADHU,Jai Hindustan Party
7986,Andhra Pradesh,Thirupathi(SC)(23),lost,688,( -631540),B. BHARANI BAS,Ambedkar National Congress
7987,Andhra Pradesh,Thirupathi(SC)(23),lost,622,( -631606),Y. MAHESH,Independent
7988,Andhra Pradesh,Thirupathi(SC)(23),lost,608,( -631620),PRASAD PATIBANDLA,Independent
7989,Andhra Pradesh,Thirupathi(SC)(23),,16118,( -616110),NOTA,None of the Above
7990,Andhra Pradesh,Kadapa(21),won,605143,(+ 62695),Y. S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party
7991,Andhra Pradesh,Kadapa(21),lost,542448,( -62695),CHADIPIRALLA BHUPESH SUBBARAMI REDDY,Telugu Desam
7992,Andhra Pradesh,Kadapa(21),lost,141039,( -464104),Y.S. SHARMILA REDDY,Indian National Congress
7993,Andhra Pradesh,Kadapa(21),lost,3810,( -601333),PANDITI. GURAPPA.,Bahujan Samaj Party
7994,Andhra Pradesh,Kadapa(21),lost,3570,( -601573),VENU GOPAL RACHINENI,Rashtriya Praja Congress  (Secular)
7995,Andhra Pradesh,Kadapa(21),lost,2430,( -602713),CHINNAPUREDDY GOPALA KRISHNA REDDY,Independent
7996,Andhra Pradesh,Kadapa(21),lost,2333,( -602810),KUNCHAM. VENKATA SUBBA REDDY,Rayalaseema Rashtra Samithi
7997,Andhra Pradesh,Kadapa(21),lost,1088,( -604055),L. KHAJA HUSSAIN,Independent
7998,Andhra Pradesh,Kadapa(21),lost,755,( -604388),ANKIREDDY. SURESH KUMAR REDDY.,All India Forward Bloc
7999,Andhra Pradesh,Kadapa(21),lost,647,( -604496),KAKARLA SHANMUKHA REDDY,Independent
8000,Andhra Pradesh,Kadapa(21),lost,624,( -604519),PALLE RAMESH,Jaibhim Rao Bharat Party
8001,Andhra Pradesh,Kadapa(21),lost,439,( -604704),CHAN BASHA. S,Anna YSR Congress Party
8002,Andhra Pradesh,Kadapa(21),lost,434,( -604709),J. V. RAMANA,Jaathia Chethi Vruthula Ikya Vedika Party
8003,Andhra Pradesh,Kadapa(21),lost,369,( -604774),MALIKIREDDY. HANUMANTHA REDDY,Jana Sahayaka Sakthi
8004,Andhra Pradesh,Kadapa(21),,16846,( -588297),NOTA,None of the Above
8005,Andhra Pradesh,Araku (ST)(1),won,477005,(+ 50580),GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party
8006,Andhra Pradesh,Araku (ST)(1),lost,426425,( -50580),KOTHAPALLI GEETHA,Bharatiya Janata Party
8007,Andhra Pradesh,Araku (ST)(1),lost,123129,( -353876),APPALANARASA PACHIPENTA,Communist Party of India  (Marxist)
8008,Andhra Pradesh,Araku (ST)(1),lost,25750,( -451255),AVASHYA LAHARI . VARAM,Bahujan Samaj Party
8009,Andhra Pradesh,Araku (ST)(1),lost,9535,( -467470),SAMAREDDY BALAKRISHNA,Independent
8010,Andhra Pradesh,Araku (ST)(1),lost,9462,( -467543),NIMMAKA JAYARAJU,Independent
8011,Andhra Pradesh,Araku (ST)(1),lost,8136,( -468869),ATHIDHI,Independent
8012,Andhra Pradesh,Araku (ST)(1),lost,7252,( -469753),CHANTI BADNAINA,Jai Bharat National Party
8013,Andhra Pradesh,Araku (ST)(1),lost,6766,( -470239),MOTTADAM . RAJABABU,Bharat Adivasi Party
8014,Andhra Pradesh,Araku (ST)(1),lost,6047,( -470958),RANJITH KUMAR PALAKA,Independent
8015,Andhra Pradesh,Araku (ST)(1),lost,4967,( -472038),MANDALA GIRIDHARA RAO,Independent
8016,Andhra Pradesh,Araku (ST)(1),lost,4959,( -472046),RAMBABU JALLI,Telugu Rajadhikara Samiti Party
8017,Andhra Pradesh,Araku (ST)(1),lost,4542,( -472463),VUYAKA NIREEKSHAN  (V. CHENCHU),India Praja Bandhu Party
